	user_ids
537	11561
538	11562
539	11568
540	11569
541	11570
542	11571
543	11575
544	11576
545	11577
546	1158
547	11581
548	11582
549	11583
550	11590
551	11595
552	11598
553	1160
554	11604
555	11605
556	11606
557	11607
558	11611
559	11613
560	11614
561	11617
562	11620
563	11622
564	11626
565	11627
566	11628
567	1163
568	11631
569	11633
570	11637
571	11638
572	11645
573	11646
574	11648
575	11649
576	11651
577	11657
578	11661
579	11663
580	11664
581	11666
582	1168
583	11680
584	11681
585	11686
586	1169
587	11691
588	11692
589	11710
590	11711
591	11712
592	11716
593	11719
594	11721
595	11727
596	11728
597	1173
598	11732
599	11735
600	11736
601	11739
602	1174
603	11743
604	11744
605	11757
606	11758
607	11759
608	11760
609	11763
610	11764
611	11768
612	11769
613	1177
614	11776
615	1178
616	11780
617	11781
618	11786
619	11787
620	11788
621	11793
622	11796
623	11801
624	11802
625	11803
626	11805
627	11806
628	11807
629	11809
630	11814
631	11815
632	11819
633	11823
634	11824
635	11825
636	11829
637	11832
638	11836
639	11837
640	11838
641	11841
642	11843
643	11847
644	11853
645	11858
646	1186
647	11860
648	11868
649	11871
650	11874
651	11879
652	11881
653	11888
654	11889
655	11894
656	11898
657	11899
658	11900
659	11901
660	11905
661	11907
662	11911
663	11912
664	11917
665	11918
666	11922
667	11929
668	11930
669	11932
670	11937
671	11941
672	11942
673	11946
674	11947
675	11958
676	11962
677	11963
678	1197
679	11972
680	11973
681	11978
682	1198
683	11980
684	11984
685	11985
686	11988
687	11990
688	11994
689	11995
690	12
691	12006
692	12007
693	12011
694	12012
695	12013
696	12014
697	12017
698	12018
699	12019
700	1202
701	12025
702	12028
703	1203
704	12034
705	12039
706	12040
707	12041
708	12042
709	12044
710	12046
711	12050
712	12051
713	12055
714	12056
715	12057
716	12064
717	12069
718	12071
719	12075
720	12076
721	1208
722	12080
723	12089
724	1209
725	12093
726	12098
727	12105
728	12110
729	12120
730	12122
731	12125
732	12130
733	12131
734	12133
735	12135
736	12138
737	12139
738	1214
739	12144
740	12149
741	12150
742	12156
743	12159
744	12162
745	12164
746	12167
747	12169
748	12173
749	12176
750	1218
751	12186
752	1219
753	12191
754	12192
755	12193
756	12197
757	122
758	1220
759	12201
760	12202
761	12204
762	12206
763	12207
764	12213
765	12220
766	12221
767	1223
768	12234
769	12237
770	12239
771	1224
772	12243
773	12245
774	12248
775	12249
776	12250
777	12254
778	12256
779	12264
780	12265
781	12266
782	12270
783	12271
784	12272
785	12276
786	12280
787	12281
788	12283
789	12285
790	12287
791	12288
792	12289
793	1229
794	12292
795	12296
796	12297
797	123
798	1230
799	12302
800	12304
801	12305
802	12306
803	12309
804	1231
805	12313
806	12319
807	12323
808	12326
809	12332
810	12333
811	12338
812	12339
813	12340
814	12344
815	12346
816	1235
817	12352
818	12353
819	12356
820	1236
821	12360
822	12361
823	12365
824	12366
825	12367
826	1237
827	12373
828	12376
829	12377
830	12394
831	124
832	12400
833	12403
834	12406
835	12407
836	12411
837	12413
838	12414
839	12416
840	12420
841	12425
842	12426
843	12428
844	12437
845	12438
846	12439
847	12443
848	12444
849	1245
850	12451
851	12455
852	12457
853	12458
854	12460
855	12472
856	12474
857	12477
858	1248
859	12486
860	12489
861	12490
862	12497
863	125
864	12500
865	12501
866	12502
867	12506
868	12508
869	12513
870	12517
871	12518
872	1252
873	12520
874	12522
875	12524
876	12525
877	12528
878	12531
879	12532
880	12537
881	12538
882	12539
883	12542
884	12547
885	12548
886	12553
887	12554
888	1256
889	12560
890	12561
891	12566
892	12572
893	12579
894	12585
895	1259
896	12591
897	12592
898	12593
899	126
900	12600
901	12606
902	12610
903	12612
904	12614
905	12615
906	12619
907	1262
908	12620
909	12621
910	12622
911	1263
912	12630
913	12634
914	12637
915	12638
916	12639
917	12640
918	12641
919	12643
920	12644
921	12648
922	12649
923	12653
924	12655
925	12656
926	12659
927	12660
928	12661
929	12662
930	12667
931	1267
932	12671
933	12678
934	12681
935	12683
936	12690
937	12694
938	12695
939	12696
940	12699
941	127
942	1270
943	12706
944	1271
945	12711
946	12717
947	12720
948	12721
949	12726
950	12729
951	12730
952	12733
953	12734
954	12735
955	12739
956	12747
957	12751
958	12752
959	12758
960	12759
961	12760
962	12762
963	12768
964	1277
965	12771
966	12772
967	12774
968	1278
969	12780
970	12781
971	12788
972	12789
973	12790
974	12791
975	12796
976	12800
977	12801
978	12803
979	1281
980	12810
981	12811
982	12812
983	12818
984	1282
985	12820
986	12824
987	12827
988	12829
989	12830
990	12834
991	12846
992	12847
993	12853
994	12860
995	12861
996	12869
997	1287
998	12872
999	12873
1000	12876
1001	12877
1002	12878
1003	12879
1004	1288
1005	12887
1006	12889
1007	1289
1008	12895
1009	12896
1010	129
1011	12900
1012	12903
1013	12904
1014	12909
1015	12910
1016	12917
1017	12920
1018	12921
1019	12925
1020	12926
1021	12927
1022	1293
1023	12931
1024	12932
1025	12937
1026	1294
1027	12945
1028	12946
1029	12948
1030	12949
1031	12952
1032	12957
1033	12959
1034	12961
1035	12964
1036	12966
1037	12969
1038	1297
1039	12971
1040	12974
1041	12980
1042	12983
1043	12985
1044	12986
1045	12987
1046	12990
1047	12995
1048	12998
1049	12999
1050	13
1051	13000
1052	13001
1053	13003
1054	1301
1055	13014
1056	13015
1057	13019
1058	1302
1059	13022
1060	13023
1061	13029
1062	13032
1063	13034
1064	1304
1065	13041
1066	13043
1067	13053
1068	13054
1069	13056
1070	13060
1071	13067
1072	13068
1073	13069
1074	13073
1075	13078
1076	13079
1077	13082
1078	13089
1079	13091
1080	13098
1081	13105
1082	13111
1083	13114
1084	13115
1085	13121
1086	13122
1087	13125
1088	1313
1089	13130
1090	13131
1091	13132
1092	13135
1093	13136
1094	13140
1095	13144
1096	13145
1097	13148
1098	13150
1099	13156
1100	13159
1101	13164
1102	13166
1103	13170
1104	13173
1105	13176
1106	13179
1107	1318
1108	13181
1109	13184
1110	13185
1111	13188
1112	13189
1113	13190
1114	13194
1115	1320
1116	13203
1117	13209
1118	1321
1119	13216
1120	1322
1121	13222
1122	13226
1123	13228
1124	1323
1125	13231
1126	13233
1127	13234
1128	13246
1129	13247
1130	13252
1131	1326
1132	13263
1133	13269
1134	1327
1135	13270
1136	13271
1137	13274
1138	1328
1139	13280
1140	13281
1141	13283
1142	13289
1143	13290
1144	13291
1145	13293
1146	13295
1147	13300
1148	13301
1149	13302
1150	13303
1151	13304
1152	13307
1153	13312
1154	13313
1155	13317
1156	13318
1157	13320
1158	13321
1159	13324
1160	13327
1161	1333
1162	13330
1163	13332
1164	13334
1165	13335
1166	13336
1167	1334
1168	13342
1169	13343
1170	13348
1171	13349
1172	13352
1173	13353
1174	13356
1175	1336
1176	13363
1177	13372
1178	13373
1179	13374
1180	13376
1181	13378
1182	13379
1183	13380
1184	13385
1185	13393
1186	13395
1187	13396
1188	13402
1189	13407
1190	13409
1191	13410
1192	13413
1193	13414
1194	13415
1195	13418
1196	13423
1197	13430
1198	13431
1199	13434
1200	13439
1201	13440
1202	13442
1203	13443
1204	13447
1205	13448
1206	13453
1207	13454
1208	13459
1209	13460
1210	13465
1211	13466
1212	13467
1213	13468
1214	13472
1215	13473
1216	13476
1217	13477
1218	13478
1219	13485
1220	13487
1221	13488
1222	13492
1223	13494
1224	13496
1225	13497
1226	13501
1227	13502
1228	13505
1229	13519
1230	13520
1231	13523
1232	13526
1233	13527
1234	13535
1235	1354
1236	13541
1237	13546
1238	13548
1239	13549
1240	1355
1241	13550
1242	13557
1243	13560
1244	13564
1245	13566
1246	13569
1247	13572
1248	13577
1249	13578
1250	13583
1251	13591
1252	13595
1253	13596
1254	13597
1255	13598
1256	13599
1257	1360
1258	13603
1259	13605
1260	13607
1261	13608
1262	13609
1263	1361
1264	13611
1265	13612
1266	13613
1267	13614
1268	13615
1269	13624
1270	13627
1271	13629
1272	13631
1273	13635
1274	13637
1275	13640
1276	13642
1277	13648
1278	13649
1279	13651
1280	13654
1281	13656
1282	13660
1283	13661
1284	13666
1285	13669
1286	1367
1287	13670
1288	13675
1289	13676
1290	13679
1291	13685
1292	13693
1293	13694
1294	137
1295	13700
1296	13701
1297	13702
1298	13710
1299	13716
1300	13717
1301	13721
1302	13729
1303	1373
1304	13734
1305	13737
1306	1374
1307	13740
1308	13743
1309	13746
1310	13748
1311	13752
1312	13753
1313	13754
1314	13759
1315	13763
1316	13764
1317	13765
1318	13768
1319	1377
1320	13775
1321	1378
1322	13781
1323	13783
1324	13786
1325	13789
1326	13790
1327	13795
1328	13797
1329	13802
1330	13804
1331	13808
1332	13817
1333	13818
1334	13820
1335	13827
1336	13828
1337	1383
1338	13831
1339	13832
1340	13838
1341	13839
1342	13840
1343	13841
1344	13846
1345	13847
1346	13852
1347	13855
1348	13857
1349	13858
1350	13860
1351	13863
1352	13865
1353	13867
1354	1387
1355	13874
1356	13876
1357	1388
1358	13883
1359	13886
1360	13890
1361	13895
1362	13898
1363	139
1364	13900
1365	13903
1366	13906
1367	13907
1368	13909
1369	1391
1370	13912
1371	13913
1372	13914
1373	13916
1374	1392
1375	13920
1376	13923
1377	13926
1378	13927
1379	1393
1380	13935
1381	13938
1382	13944
1383	13948
1384	1395
1385	13955
1386	13964
1387	13968
1388	1397
1389	13970
1390	13973
1391	13977
1392	1398
1393	13981
1394	13982
1395	13984
1396	13988
1397	13989
1398	13990
1399	13996
1400	13999
1401	14
1402	14000
1403	14002
1404	14003
1405	14009
1406	14013
1407	14018
1408	14019
1409	14024
1410	1403
1411	14032
1412	14035
1413	14039
1414	14040
1415	14047
1416	14049
1417	14051
1418	14053
1419	14055
1420	14058
1421	14059
1422	1406
1423	14061
1424	14062
1425	14068
1426	14069
1427	1407
1428	14070
1429	14073
1430	14074
1431	14076
1432	14077
1433	1408
1434	14083
1435	14085
1436	14092
1437	14095
1438	14096
1439	14099
1440	1410
1441	14103
1442	14105
1443	14106
1444	14113
1445	14114
1446	1412
1447	14121
1448	14123
1449	14125
1450	1413
1451	14130
1452	14131
1453	14134
1454	14140
1455	14144
1456	14147
1457	14148
1458	14153
1459	14155
1460	14156
1461	14162
1462	14165
1463	14169
1464	1417
1465	14170
1466	14171
1467	14174
1468	14175
1469	14177
1470	1418
1471	14180
1472	14182
1473	14185
1474	14187
1475	1419
1476	14192
1477	14193
1478	14197
1479	14198
1480	14199
1481	14202
1482	14206
1483	14211
1484	14217
1485	14218
1486	14222
1487	14226
1488	1423
1489	1424
1490	14240
1491	14245
1492	14254
1493	14256
1494	14257
1495	14263
1496	14265
1497	14267
1498	14269
1499	1427
1500	14273
1501	14274
1502	14275
1503	14284
1504	14285
1505	14289
1506	14291
1507	14297
1508	14298
1509	143
1510	14301
1511	14311
1512	14312
1513	14319
1514	1432
1515	14327
1516	14328
1517	14334
1518	1434
1519	14347
1520	1435
1521	14352
1522	14353
1523	14356
1524	14357
1525	1436
1526	14361
1527	14368
1528	14369
1529	14374
1530	14376
1531	14377
1532	14385
1533	1439
1534	14390
1535	14396
1536	14398
1537	144
1538	1440
1539	14400
1540	14404
1541	1441
1542	14410
1543	14411
1544	14412
1545	14415
1546	14416
1547	1442
1548	14422
1549	14432
1550	14434
1551	14435
1552	14443
1553	14445
1554	1445
1555	14451
1556	14453
1557	14454
1558	14458
1559	1446
1560	14463
1561	14464
1562	14474
1563	14475
1564	14479
1565	14482
1566	14483
1567	14484
1568	14485
1569	14486
1570	1449
1571	14490
1572	14491
1573	14494
1574	14495
1575	14497
1576	14498
1577	1450
1578	14502
1579	14503
1580	14508
1581	14511
1582	14517
1583	14522
1584	14530
1585	14531
1586	14535
1587	1454
1588	14540
1589	14541
1590	14542
1591	14548
1592	14549
1593	14552
1594	14556
1595	14562
1596	14565
1597	14569
1598	14570
1599	14574
1600	14577
1601	14578
1602	14583
1603	14584
1604	14590
1605	14593
1606	14595
1607	14596
1608	14597
1609	1460
1610	14605
1611	14606
1612	14607
1613	14612
1614	14614
1615	14617
1616	14619
1617	14625
1618	14631
1619	14632
1620	14633
1621	14636
1622	14637
1623	14641
1624	14648
1625	14653
1626	14657
1627	14658
1628	1466
1629	14664
1630	1467
1631	14673
1632	14675
1633	14676
1634	14679
1635	14684
1636	14685
1637	14690
1638	14692
1639	14701
1640	14705
1641	14706
1642	14712
1643	14713
1644	14714
1645	14716
1646	14719
1647	14721
1648	14724
1649	14727
1650	14729
1651	14731
1652	14732
1653	14733
1654	14734
1655	14736
1656	14744
1657	14748
1658	14749
1659	14751
1660	14752
1661	14753
1662	14756
1663	14757
1664	14758
1665	14764
1666	14768
1667	14774
1668	1478
1669	14780
1670	14786
1671	1479
1672	14790
1673	14794
1674	14795
1675	1480
1676	14800
1677	14803
1678	14806
1679	14812
1680	14813
1681	14814
1682	14821
1683	14823
1684	14824
1685	14825
1686	1483
1687	14834
1688	14836
1689	14837
1690	1484
1691	1485
1692	14853
1693	14854
1694	14856
1695	14859
1696	14860
1697	14864
1698	14867
1699	14871
1700	14873
1701	14874
1702	14878
1703	14879
1704	1488
1705	14880
1706	14881
1707	14885
1708	14888
1709	14889
1710	1489
1711	14895
1712	14896
1713	149
1714	1490
1715	14900
1716	14901
1717	14903
1718	14908
1719	14909
1720	14910
1721	14914
1722	14918
1723	14921
1724	14922
1725	14923
1726	14927
1727	14928
1728	14931
1729	14932
1730	14933
1731	14934
1732	14938
1733	14943
1734	14944
1735	14945
1736	14946
1737	14952
1738	1496
1739	14960
1740	14962
1741	14963
1742	14966
1743	14967
1744	14971
1745	14972
1746	14979
1747	1499
1748	14995
1749	14996
1750	14997
1751	1500
1752	15004
1753	15010
1754	15013
1755	15014
1756	15015
1757	15022
1758	15025
1759	15026
1760	1503
1761	15033
1762	15037
1763	1504
1764	15042
1765	15043
1766	15047
1767	15048
1768	15049
1769	15052
1770	15054
1771	15055
1772	15060
1773	15061
1774	15071
1775	15076
1776	15078
1777	15083
1778	15084
1779	15085
1780	15086
1781	15095
1782	15097
1783	15098
1784	15099
1785	1510
1786	15102
1787	15103
1788	15110
1789	15117
1790	15120
1791	15128
1792	15129
1793	15130
1794	15132
1795	15133
1796	15139
1797	1514
1798	15140
1799	15145
1800	15150
1801	15153
1802	15155
1803	15156
1804	15161
1805	15167
1806	15173
1807	15174
1808	15178
1809	15180
1810	15181
1811	15185
1812	15189
1813	1519
1814	15193
1815	15196
1816	15197
1817	15198
1818	1520
1819	15205
1820	15206
1821	15207
1822	15208
1823	15210
1824	15215
1825	15216
1826	15219
1827	15220
1828	15222
1829	15224
1830	15228
1831	15230
1832	15231
1833	15234
1834	15235
1835	15237
1836	15238
1837	15239
1838	15245
1839	15248
1840	15250
1841	15255
1842	15257
1843	15258
1844	15259
1845	15260
1846	15262
1847	15264
1848	15267
1849	1527
1850	15273
1851	15274
1852	15275
1853	15279
1854	15282
1855	15283
1856	15284
1857	15285
1858	15288
1859	15298
1860	15299
1861	1530
1862	15305
1863	15310
1864	15311
1865	15316
1866	15318
1867	15319
1868	1532
1869	15321
1870	15324
1871	15331
1872	15333
1873	15335
1874	15339
1875	15342
1876	15343
1877	15344
1878	15351
1879	15354
1880	15356
1881	15357
1882	1536
1883	15363
1884	15367
1885	1537
1886	15373
1887	15374
1888	15377
1889	15387
1890	15391
1891	15392
1892	15397
1893	15398
1894	15399
1895	154
1896	15403
1897	15404
1898	15406
1899	15407
1900	15409
1901	1541
1902	15418
1903	15419
1904	15421
1905	15422
1906	15423
1907	15425
1908	15430
1909	15434
1910	15440
1911	15445
1912	15446
1913	15448
1914	1545
1915	15454
1916	15455
1917	15458
1918	1546
1919	15460
1920	15466
1921	15469
1922	1547
1923	15470
1924	15471
1925	15472
1926	15473
1927	15477
1928	15480
1929	15483
1930	15484
1931	15493
1932	15494
1933	15499
1934	155
1935	15504
1936	15507
1937	15508
1938	15511
1939	15513
1940	15514
1941	1552
1942	15520
1943	15526
1944	15527
1945	15528
1946	15534
1947	15535
1948	15540
1949	15541
1950	15548
1951	15549
1952	15551
1953	15553
1954	15554
1955	15558
1956	15569
1957	1557
1958	15572
1959	15573
1960	15588
1961	15589
1962	1559
1963	15592
1964	15593
1965	15595
1966	15604
1967	15605
1968	15609
1969	15611
1970	15618
1971	15619
1972	1562
1973	15621
1974	15625
1975	15626
1976	15630
1977	15632
1978	15636
1979	1564
1980	15641
1981	15642
1982	15643
1983	15646
1984	15654
1985	15655
1986	1566
1987	1567
1988	15676
1989	15678
1990	15679
1991	1568
1992	15680
1993	15685
1994	15686
1995	15687
1996	1569
1997	15701
1998	15705
1999	15706
2000	15709
2001	1571
2002	15713
2003	15714
2004	15715
2005	15716
2006	15722
2007	15723
2008	15726
2009	15727
2010	15728
2011	1573
2012	15736
2013	15738
2014	15739
2015	15743
2016	15749
2017	15750
2018	15757
2019	15762
2020	15765
2021	15766
2022	15776
2023	15778
2024	15782
2025	15783
2026	15784
2027	15786
2028	15787
2029	15788
2030	15792
2031	15796
2032	15807
2033	15808
2034	1581
2035	15810
2036	15811
2037	15812
2038	15815
2039	15816
2040	15817
2041	1582
2042	15820
2043	15826
2044	1587
2045	1590
2046	1593
2047	1597
2048	160
2049	1606
2050	1609
2051	161
2052	1611
2053	1612
2054	1617
2055	1618
2056	1619
2057	162
2058	1620
2059	1621
2060	1629
2061	1632
2062	1639
2063	1640
2064	1644
2065	1645
2066	1649
2067	1650
2068	1651
2069	1652
2070	166
2071	1663
2072	1668
2073	1669
2074	1672
2075	1674
2076	169
2077	1690
2078	1695
2079	1697
2080	17
2081	1704
2082	1705
2083	1709
2084	171
2085	1713
2086	1718
2087	1724
2088	1725
2089	1728
2090	1741
2091	1745
2092	1746
2093	1749
2094	175
2095	1750
2096	1751
2097	1754
2098	1755
2099	1756
2100	1763
2101	1770
2102	1771
2103	1774
2104	1775
2105	1781
2106	1786
2107	1787
2108	179
2109	1791
2110	1792
2111	1793
2112	1796
2113	18
2114	1800
2115	1805
2116	1811
2117	1817
2118	1818
2119	182
2120	1823
2121	1828
2122	1832
2123	1834
2124	1839
2125	1841
2126	1849
2127	1852
2128	1854
2129	1857
2130	1858
2131	1860
2132	1861
2133	1862
2134	1866
2135	1869
2136	187
2137	1870
2138	1871
2139	1876
2140	1879
2141	1880
2142	1885
2143	1888
2144	1891
2145	1892
2146	190
2147	1903
2148	1904
2149	1908
2150	1915
2151	1918
2152	192
2153	1922
2154	1925
2155	1926
2156	1929
2157	1930
2158	1932
2159	1936
2160	1937
2161	1945
2162	195
2163	1954
2164	1955
2165	1959
2166	1960
2167	1964
2168	1965
2169	1966
2170	1973
2171	1974
2172	1976
2173	1977
2174	198
2175	1981
2176	1987
2177	1988
2178	1992
2179	1993
2180	2012
2181	2013
2182	2017
2183	2018
2184	2023
2185	2028
2186	2029
2187	2032
2188	2034
2189	2038
2190	2039
2191	2044
2192	2045
2193	2050
2194	2052
2195	2053
2196	2057
2197	2059
2198	2064
2199	2069
2200	2070
2201	2072
2202	2073
2203	2083
2204	2084
2205	2091
2206	2094
2207	2096
2208	2097
2209	2101
2210	2102
2211	2107
2212	2108
2213	2117
2214	212
2215	2122
2216	2124
2217	2128
2218	213
2219	2131
2220	2134
2221	2137
2222	214
2223	215
2224	2154
2225	216
2226	2160
2227	2161
2228	2162
2229	2167
2230	2168
2231	2170
2232	2174
2233	2178
2234	2179
2235	2185
2236	2186
2237	2192
2238	2204
2239	2213
2240	2214
2241	2215
2242	2218
2243	222
2244	2228
2245	2229
2246	2233
2247	2237
2248	2238
2249	2250
2250	2251
2251	2254
2252	2258
2253	226
2254	2262
2255	2265
2256	2269
2257	2270
2258	2276
2259	2281
2260	2282
2261	2284
2262	2287
2263	2291
2264	2294
2265	230
2266	2306
2267	2307
2268	2308
2269	2314
2270	2315
2271	2319
2272	2320
2273	2324
2274	2325
2275	2326
2276	2330
2277	2331
2278	2336
2279	2339
2280	234
2281	2340
2282	2342
2283	2344
2284	235
2285	2350
2286	2356
2287	2357
2288	2359
2289	2361
2290	2366
2291	2368
2292	2369
2293	2376
2294	2377
2295	238
2296	2382
2297	2385
2298	2388
2299	2395
2300	2398
2301	2400
2302	2402
2303	2405
2304	2406
2305	2407
2306	2409
2307	2414
2308	2424
2309	2425
2310	2426
2311	2428
2312	2429
2313	2432
2314	2433
2315	2434
2316	2435
2317	2438
2318	2446
2319	2448
2320	2455
2321	246
2322	2461
2323	2463
2324	2467
2325	2468
2326	2469
2327	2470
2328	2471
2329	2477
2330	2480
2331	2484
2332	2486
2333	2487
2334	249
2335	2491
2336	2492
2337	2496
2338	2499
2339	2500
2340	2504
2341	2505
2342	2507
2343	2510
2344	2513
2345	2515
2346	2517
2347	2521
2348	2522
2349	2523
2350	2527
2351	2528
2352	253
2353	2534
2354	2535
2355	2536
2356	254
2357	2542
2358	2544
2359	2545
2360	2548
2361	2552
2362	2555
2363	2556
2364	2558
2365	2563
2366	2570
2367	2571
2368	2573
2369	2574
2370	2584
2371	2588
2372	259
2373	2590
2374	2591
2375	2592
2376	2593
2377	2596
2378	2597
2379	2601
2380	2602
2381	2612
2382	2619
2383	262
2384	2624
2385	2625
2386	263
2387	2632
2388	2633
2389	2634
2390	2641
2391	2643
2392	2647
2393	2650
2394	2652
2395	2653
2396	2657
2397	2661
2398	2662
2399	267
2400	2675
2401	2676
2402	2678
2403	2679
2404	2680
2405	2681
2406	2685
2407	2686
2408	2692
2409	2696
2410	2698
2411	2706
2412	2710
2413	2711
2414	2714
2415	2716
2416	272
2417	2720
2418	2723
2419	2727
2420	2728
2421	2734
2422	2735
2423	2736
2424	2747
2425	275
2426	2752
2427	2753
2428	2756
2429	276
2430	2763
2431	2765
2432	2770
2433	2776
2434	2783
2435	2784
2436	2785
2437	279
2438	2790
2439	2792
2440	2793
2441	2795
2442	2796
2443	280
2444	2800
2445	2801
2446	2802
2447	2805
2448	2809
2449	2810
2450	2811
2451	2812
2452	2813
2453	2818
2454	2820
2455	2823
2456	2824
2457	2829
2458	2835
2459	2841
2460	2848
2461	2852
2462	2853
2463	2857
2464	2858
2465	2859
2466	2861
2467	2862
2468	2863
2469	2865
2470	2867
2471	2872
2472	2878
2473	2879
2474	2883
2475	2885
2476	2888
2477	289
2478	2890
2479	2891
2480	2892
2481	2895
2482	2896
2483	29
2484	2900
2485	2904
2486	2906
2487	2909
2488	291
2489	2910
2490	292
2491	2920
2492	2925
2493	2929
2494	2930
2495	2936
2496	2940
2497	2945
2498	2949
2499	2950
2500	2952
2501	2955
2502	2956
2503	2957
2504	296
2505	2964
2506	2969
2507	298
